manufacturer,family,model,category,max_capacity,range_km,cruise_kmh,fuel_burn_kgph,min_runway_m,price_new_usd
Airbus,A220,A220-100,regional,133,5460,830,1900,1463,42000000
Airbus,A220,A220-300,regional,160,6300,830,2100,1690,48000000
Airbus,A320,A319,narrowbody,156,6850,828,2400,1850,50000000
Airbus,A320,A320,narrowbody,195,6300,828,2500,2100,58000000
Airbus,A320,A320neo,narrowbody,195,6500,833,2200,1600,68000000
Airbus,A320,A321neo,narrowbody,244,7400,833,2500,2210,78000000
Airbus,A330,A330-200,widebody,247,13450,871,5800,2500,145000000
Airbus,A330,A330-300,widebody,277,11750,871,6200,2770,155000000
Airbus,A330,A330-900neo,widebody,287,13334,871,5400,2770,185000000
Airbus,A340,A340-300,widebody,295,13350,880,7200,2900,120000000
Airbus,A340,A340-600,widebody,380,13900,880,9500,3300,135000000
Airbus,A350,A350-900,widebody,325,15000,903,6000,2600,240000000
Airbus,A350,A350-1000,widebody,366,16100,903,6700,2800,275000000
Airbus,A380,A380-800,widebody,555,14800,903,11000,3000,400000000
Boeing,737,737-700,narrowbody,149,6370,842,2200,1830,52000000
Boeing,737,737-800,narrowbody,189,5765,842,2500,2000,63000000
Boeing,737,737 MAX 8,narrowbody,210,6570,839,2300,2000,75000000
Boeing,747,747-400,widebody,416,13450,920,11500,3000,150000000
Boeing,747,747-8,widebody,467,14310,920,11000,3100,310000000
Boeing,757,757-200,narrowbody,200,7250,850,3600,2200,80000000
Boeing,757,757-300,narrowbody,243,6295,850,3900,2470,85000000
Boeing,767,767-300ER,widebody,269,11070,851,5300,2600,135000000
Boeing,767,767-400ER,widebody,304,10415,851,5600,2900,150000000
Boeing,777,777-200ER,widebody,314,13080,905,6800,2600,230000000
Boeing,777,777-300ER,widebody,396,13650,905,7700,3000,290000000
Boeing,777,777-9,widebody,426,13550,905,7400,3100,370000000
Boeing,787,787-8,widebody,242,13530,903,5400,2600,200000000
Boeing,787,787-9,widebody,290,14140,903,5700,2800,230000000
Boeing,787,787-10,widebody,330,11750,903,6000,2800,260000000
Embraer,ERJ,ERJ145,regional,50,2800,750,1200,1600,18000000
Embraer,E1,E175,regional,88,3700,828,1700,1450,30000000
Embraer,E1,E190,regional,106,4537,829,1900,1600,38000000
Embraer,E1,E195,regional,124,4260,829,2000,1650,42000000
Embraer,E2,E175-E2,regional,90,3735,833,1600,1370,40000000
Embraer,E2,E190-E2,regional,114,5278,833,1750,1450,48000000
Embraer,E2,E195-E2,regional,146,4800,833,1850,1600,54000000
Comac,ARJ21,ARJ21-700,regional,90,3700,828,1900,1700,35000000
Comac,C919,C919,narrowbody,158,5555,834,2400,1700,60000000
Bombardier,CRJ,CRJ700,regional,78,3045,828,1700,1453,25000000
Bombardier,CRJ,CRJ900,regional,90,2956,870,1850,1719,32000000
Bombardier,CRJ,CRJ1000,regional,104,3004,870,2000,1850,36000000
